rownames,nr,year,school,exper,union,ethn,maried,health,wage,industry,occupation,residence,age,exper level,school level,wage level
1,13,1980,14,1,no,other,no,no,1.1975402046,business and repair service,service workers,north east,21,beginner,high,medium
2,13,1981,14,2,yes,other,no,no,1.8530599951,personal service,service workers,north east,22,beginner,high,medium
3,13,1982,14,3,no,other,no,no,1.3444616775,business and repair service,service workers,north east,23,beginner,high,medium
4,13,1983,14,4,no,other,no,no,1.4332133359,business and repair service,service workers,north east,24,intermediate,high,medium
5,13,1984,14,5,no,other,no,no,1.5681250801,personal service,"craftsmen, foremen and kindred",north east,25,intermediate,high,medium
6,13,1985,14,6,no,other,no,no,1.6998909418,business and repair service,"managers, officials and proprietors",north east,26,intermediate,high,medium
7,13,1986,14,7,no,other,no,no,-0.720262576,business and repair service,"managers, officials and proprietors",north east,27,intermediate,high,low
8,13,1987,14,8,no,other,no,no,1.6691879168,business and repair service,"managers, officials and proprietors",north east,28,intermediate,high,medium
9,17,1980,13,4,no,other,no,no,1.6759624043,trade,"managers, officials and proprietors",north east,23,intermediate,high,medium
10,17,1981,13,5,no,other,no,no,1.5183982018,trade,"managers, officials and proprietors",north east,24,intermediate,high,medium
11,17,1982,13,6,no,other,no,no,1.5591904773,trade,"managers, officials and proprietors",north east,25,intermediate,high,medium
12,17,1983,13,7,no,other,no,no,1.7254100887,trade,"managers, officials and proprietors",north east,26,intermediate,high,medium
13,17,1984,13,8,no,other,no,no,1.6220223205,trade,"managers, officials and proprietors",north east,27,intermediate,high,medium
14,17,1985,13,9,no,other,no,no,1.6085882735,construction,laborers and farmers,north east,28,advanced,high,medium
15,17,1986,13,10,no,other,no,no,1.5723854135,construction,laborers and farmers,north east,29,advanced,high,medium
16,17,1987,13,11,no,other,no,no,1.8203338562,construction,"craftsmen, foremen and kindred",north east,30,advanced,high,medium
17,18,1980,12,4,no,other,yes,no,1.5159627486,trade,clerical and kindred,south,22,intermediate,intermediate,medium
18,18,1981,12,5,no,other,yes,no,1.7353791358,trade,clerical and kindred,south,23,intermediate,intermediate,medium
19,18,1982,12,6,no,other,yes,no,1.6317436699,manufacturing,"managers, officials and proprietors",south,24,intermediate,intermediate,medium
20,18,1983,12,7,no,other,yes,no,1.9982288111,trade,sales workers,south,25,intermediate,intermediate,medium
21,18,1984,12,8,no,other,yes,no,2.1840142196,trade,sales workers,south,26,intermediate,intermediate,high
22,18,1985,12,9,no,other,yes,no,2.2666622392,trade,sales workers,south,27,advanced,intermediate,high
23,18,1986,12,10,no,other,yes,no,2.06994393,trade,sales workers,south,28,advanced,intermediate,high
24,18,1987,12,11,no,other,yes,no,2.8731607212,trade,sales workers,south,29,advanced,intermediate,high
25,45,1980,12,2,yes,other,no,no,1.8941149806,transportation,laborers and farmers,north east,20,beginner,intermediate,medium
26,45,1981,12,3,yes,other,no,no,1.4711592831,transportation,operatives and kindred,north east,21,beginner,intermediate,medium
27,45,1982,12,4,no,other,no,no,1.473497492,manufacturing,operatives and kindred,north east,22,intermediate,intermediate,medium
28,45,1983,12,5,no,other,no,no,1.7409142752,manufacturing,operatives and kindred,north east,23,intermediate,intermediate,medium
29,45,1984,12,6,no,other,no,no,1.8232137137,business and repair service,operatives and kindred,north east,24,intermediate,intermediate,medium
30,45,1985,12,7,no,other,no,no,1.9082728567,manufacturing,operatives and kindred,north east,25,intermediate,intermediate,medium
31,45,1986,12,8,no,other,no,no,1.7424473634,transportation,clerical and kindred,north east,26,intermediate,intermediate,medium
32,45,1987,12,9,no,other,yes,no,2.1356889155,construction,clerical and kindred,north east,27,advanced,intermediate,high
33,110,1980,12,5,yes,other,no,no,1.9487748545,professional and related service,clerical and kindred,north east,23,intermediate,intermediate,medium
34,110,1981,12,6,no,other,no,no,1.9622592871,professional and related service,clerical and kindred,north east,24,intermediate,intermediate,medium
35,110,1982,12,7,no,other,no,no,1.9632968251,professional and related service,"managers, officials and proprietors",north east,25,intermediate,intermediate,medium
36,110,1983,12,8,no,other,no,no,2.2025156325,professional and related service,"managers, officials and proprietors",north east,26,intermediate,intermediate,high
